,AIS_ID,admission_points,admissions_points_ext,education_achieved,sex,nationality,admission_from,study_programme,age,graduation_year,VŠP_štúdium,FYZ_B,OOP_B,PAM_B,PRPR_B,ZPRPR2_B,TZIV_B,ADM_B,AJ_B,MA_B,MIP_B,PPI_B,attd_FYZ_B,attd_OOP_B,attd_PRPR_B,attd_ZPRPR2_B,attd_TZIV_B,attd_ADM_B,attd_AJ_B,attd_MA_B,attd_MIP_B,attd_PPI_B,end_type,school_general_rating,school_math_rating,school_foreign_lang_rating,school_university_admissions_rating,school_finance_sources_rating,school_pedagogical_team
0,5743,86.7,False,5,0,1,1,0,28,2010.0,2.2,4.0,4.0,4.0,1.0,0.0,0.0,1.0,1.5,3.0,4.0,2.0,7,6,12,0,0,0,7,0,9,11,0,6.67,7.2,6.17,7.42,7.5,1.00
1,72014,79.3,False,5,0,1,2,0,26,2013.0,2.17,2.0,2.0,2.0,3.0,0.0,0.0,1.5,2.0,2.0,2.5,1.5,0,11,12,0,0,11,11,0,9,12,1,6.67,7.2,6.17,7.42,7.5,1.00
2,74332,90.9,False,5,0,1,2,0,25,2014.0,1.58,0.0,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.0,1.0,1.5,0,11,12,0,0,11,11,0,9,12,1,6.67,7.2,6.17,7.42,7.5,1.00
3,79488,61.5,False,5,0,1,2,0,25,2015.0,2.24,2.0,3.0,2.0,2.5,0.0,3.0,2.5,1.5,2.0,2.0,1.5,12,12,12,0,11,0,13,0,9,12,1,6.67,7.2,6.17,7.42,7.5,1.00
4,79567,87.9,True,5,1,1,2,0,24,2015.0,2.33,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,2.5,1.5,4.0,0,0,9,0,0,0,10,0,0,12,0,6.67,7.2,6.17,7.42,7.5,1.00
5,86063,72.0,False,5,0,1,2,0,24,2016.0,2.39,3.0,3.0,2.0,4.0,0.0,2.5,2.5,2.0,2.0,2.0,2.5,12,11,20,0,9,0,12,0,10,12,0,6.67,7.2,6.17,7.42,7.5,1.00
6,87149,66.5,False,5,0,1,2,0,23,2016.0,2.47,4.0,2.5,1.5,3.0,0.0,3.0,3.0,1.0,2.5,1.5,2.0,11,12,12,0,0,0,13,25,11,12,0,6.67,7.2,6.17,7.42,7.5,1.00
7,91994,56.5,False,5,1,1,1,0,23,2016.0,2.55,4.0,4.0,2.0,3.0,0.0,4.0,3.0,1.5,3.0,1.5,2.0,13,12,19,0,10,6,12,13,2,12,0,6.67,7.2,6.17,7.42,7.5,1.00
8,92104,80.6,False,5,0,1,2,0,22,2017.0,2.9,4.0,4.0,2.5,3.0,0.0,4.0,3.0,2.5,4.0,3.0,3.0,12,9,20,0,9,13,11,11,0,12,0,6.67,7.2,6.17,7.42,7.5,1.00
9,79467,65.92142129733631,False,5,0,1,2,0,24,2015.0,2.24,0.7890575396056915,1.5260383597371276,1.263019179868564,2.263019179868564,0.0,2.263019179868564,2.5,2.0520767194742553,1.763019179868564,1.736980820131436,1.0,6,12,12,0,10,0,4,0,9,12,1,6.67,7.2,6.17,7.42,7.5,1.00
10,79481,73.59803733497768,False,5,0,1,2,0,25,2015.0,1.94,3.0,3.0,1.2481831236006182,3.0,0.0,2.7518168763993818,3.0,1.7518168763993818,2.7481831236006182,1.5,1.7481831236006182,11,12,12,0,10,0,8,0,8,12,1,6.67,7.2,6.17,7.42,7.5,1.00
11,5765,54.0,False,5,0,1,4,0,30,2009.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0,0,10,0,0,13,12,11,4,12,0,7.52,6.22,8.26,5.22,6.93,2.16
12,74210,90.7,False,5,0,1,2,1,30,2008.0,2.73,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,12,0,0,12,0,0,0,0,7.52,6.22,8.26,5.22,6.93,2.16
13,75075,0.0,False,5,1,1,2,0,25,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,0,8,0,9,8,0,7.52,6.22,8.26,5.22,6.93,2.16
14,79569,66.0,False,5,0,1,2,1,25,2015.0,2.43,4.0,3.0,1.5,0.0,2.5,2.5,2.0,1.5,2.5,2.0,2.5,12,10,0,12,7,0,12,0,11,12,0,7.52,6.22,8.26,5.22,6.93,2.16
15,79668,61.5,False,5,0,1,2,0,24,2015.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0,0,9,0,0,0,11,0,8,9,0,7.52,6.22,8.26,5.22,6.93,2.16
16,5776,0.0,False,5,0,1,3,0,29,2010.0,1.82,2.0,1.5,1.5,1.0,0.0,0.0,1.0,1.5,1.5,1.5,1.0,13,0,0,0,0,0,0,0,0,0,0,6.11,5.48,7.13,7.77,7.45,2.11
17,79496,80.8,False,5,0,1,2,0,24,2015.0,2.57,3.0,3.0,2.5,2.0,0.0,2.5,2.5,1.5,3.0,3.0,1.5,24,12,12,0,11,0,13,0,9,12,0,6.11,5.48,7.13,7.77,7.45,2.11
18,79781,56.3,False,5,0,1,2,0,24,2015.0,2.36,4.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,3.0,1.5,2.5,11,3,14,0,1,0,4,0,0,11,0,6.11,5.48,7.13,7.77,7.45,2.11
19,8416,49.8,False,4,0,1,2,6,29,2011.0,1.98,2.5,2.0,0.0,2.0,0.0,0.0,2.0,1.5,3.0,1.5,1.5,10,10,11,0,0,0,13,0,11,0,0,6.16,5.31,5.0,6.62,5.82,3.34
20,79556,75.36,False,4,0,1,2,1,24,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,0,0,0,6.16,5.31,5.0,6.62,5.82,3.34
21,79735,56.3,False,4,0,1,2,0,25,2015.0,2.54,4.0,4.0,2.0,3.0,0.0,4.0,4.0,2.0,4.0,2.0,2.5,13,11,12,0,10,0,8,0,9,12,0,6.16,5.31,5.0,6.62,5.82,3.34
22,8417,68.9,False,5,0,1,4,6,28,2011.0,2.15,3.0,2.0,0.0,2.5,0.0,0.0,2.0,1.5,3.0,1.5,1.5,10,10,12,0,0,0,0,0,11,0,0,5.64,7.35,7.21,5.15,7.36,2.83
23,73966,61.5,False,5,0,1,2,0,30,2009.0,2.25,4.0,4.0,4.0,4.0,0.0,0.0,2.0,1.5,3.0,4.0,4.0,9,8,17,0,0,9,11,0,9,11,0,5.64,7.35,7.21,5.15,7.36,2.83
24,74284,87.6,False,5,0,1,2,0,26,2014.0,2.34,2.5,2.5,2.0,2.5,0.0,0.0,2.0,1.5,2.5,1.0,2.5,12,10,12,0,0,11,9,0,9,11,1,5.64,7.35,7.21,5.15,7.36,2.83
25,79484,97.7,True,5,0,1,2,0,25,2015.0,1.4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,12,12,12,0,12,0,13,0,9,12,1,5.64,7.35,7.21,5.15,7.36,2.83
